fx,fy,fz,tx,ty,tz,t
,0
-0.195031,-20.686,0.000724327,0.910644,-0.000834237,0.00339244,1436
-0.568738,-30.7873,0.00169131,1.36046,-0.00251176,0.000544145,2897
-1.08102,-40.6928,0.0035171,1.80491,-0.004992,-0.00206009,4324
-1.68966,-50.4279,0.00532082,2.24359,-0.00826362,-0.0043441,5749
-2.35314,-60.0356,0.0079797,2.6767,-0.0122894,-0.00759996,7180
-3.03373,-69.5678,0.0106497,3.10514,-0.0170333,-0.00999152,8598
-3.69973,-68.8383,0.014697,3.0784,-0.022435,-0.0103436,10023
-4.33869,-68.2311,0.021621,3.05296,-0.0284696,-0.0100997,11448
-3.17381,-47.9185,0.0299153,2.16126,0.0226653,-0.00447704,12322
-3.7766,-47.4658,0.0362801,2.14039,0.0159583,-0.00511809,12886
-4.32293,-47.0897,0.0434271,2.12095,0.00875552,-0.00525913,14319
-4.80017,-46.782,0.0516738,2.10328,0.0012465,-0.00462603,15738
-3.61876,-32.6011,0.0613618,1.48076,0.0531066,-0.000720727,16259
-4.03894,-32.387,0.0601601,1.46735,0.0452259,-0.000825201,17180
-4.41573,-32.157,0.0682589,1.45329,0.0369479,-0.000218341,18627
-4.76222,-31.9825,0.0740876,1.44054,0.0282276,0.000442036,20055
-3.65514,-22.1473,0.0847491,1.00878,0.0768244,0.00313495,20222
-3.96629,-22.0783,0.0911414,1.00171,0.0678626,0.00140117,21492
-4.23384,-21.9806,0.101691,0.992992,0.0586482,0.00219257,22912
-3.24056,-15.2134,0.102772,0.695918,0.102252,0.00403286,24189
-3.45895,-15.164,0.112331,0.690103,0.0931617,0.00440225,24363
-3.64595,-15.1167,0.114618,0.684787,0.0839859,0.00399009,25808
-3.81999,-15.0261,0.117434,0.677631,0.0745939,0.00362465,27241
-2.97481,-10.3655,0.118493,0.473035,0.111696,0.0048833,28085
-3.13632,-10.3308,0.122013,0.469072,0.102231,0.006004,28643
-3.26852,-10.2953,0.126133,0.464928,0.092916,0.00560762,30076
-3.3731,-10.2899,0.131553,0.462412,0.083671,0.00569968,31518
-2.66314,-7.07952,0.13428,0.32148,0.114837,0.00655972,32020
-2.74535,-7.09313,0.136752,0.320487,0.105913,0.00704089,32984
-2.82341,-7.0485,0.140558,0.316846,0.0970755,0.00591641,34371
-2.89372,-7.01871,0.139926,0.314319,0.0882544,0.00543253,35809
-2.27761,-4.82457,0.141438,0.217999,0.1153,0.00601322,35961
-2.3338,-4.80813,0.139069,0.216293,0.106753,0.00727947,37238
-2.37435,-4.78273,0.140446,0.213728,0.0985179,0.00640805,38689
-1.85685,-3.27346,0.141831,0.147474,0.121235,0.00680238,39917
-1.88888,-3.29655,0.141492,0.147487,0.113122,0.00713429,40118
-1.91373,-3.30187,0.144485,0.146964,0.105348,0.00706933,41538
-1.93601,-3.28653,0.143791,0.145546,0.0978331,0.00754286,42968
-1.51466,-2.25018,0.148588,0.100052,0.116329,0.00781004,43845
-1.53836,-2.24407,0.146104,0.0993434,0.10876,0.00815437,44407
-1.54981,-2.21553,0.144039,0.0976184,0.101772,0.00803802,45844
-1.5557,-2.22185,0.140157,0.0974189,0.0950319,0.00694407,47258
-1.25616,-1.55862,0.153337,0.0683044,0.108177,0.00711343,47766
-1.25847,-1.57925,0.152316,0.0688053,0.101573,0.00750724,48699
-1.26215,-1.57597,0.153258,0.0680883,0.0950922,0.00778935,50134
-1.26755,-1.589,0.15005,0.0685593,0.0891012,0.00597037,51588
-1.03278,-1.08235,0.161758,0.0463186,0.0994041,0.00609942,51703
-1.04431,-1.07499,0.158743,0.0457349,0.0931406,0.00628735,53017
-1.04243,-1.05893,0.15795,0.0445689,0.0875464,0.00815643,54458
-0.852505,-0.709968,0.163166,0.0292502,0.0958825,0.00824379,55663
