fx,fy,fz,tx,ty,tz,t
,0
-0.000820173,-20.742,0.0448904,0.921741,-0.00221042,-0.162172,1406
-0.00235346,-30.9393,0.135268,1.39273,-0.00668132,-0.166276,2863
-0.00389025,-40.9583,0.268317,1.86566,-0.0133477,-0.169093,4309
-0.0057031,-50.8126,0.440491,2.33727,-0.0220992,-0.17186,5725
-0.00741135,-60.5278,0.648642,2.80533,-0.0328779,-0.174371,7162
-0.00913844,-70.1467,0.888715,3.26832,-0.0455792,-0.177133,8600
-0.0121,-69.4957,1.15557,3.27438,-0.0600967,-0.176615,10035
-0.0184609,-68.9648,1.44416,3.28009,-0.0762612,-0.175929,11450
1.15182,-48.2944,1.45105,2.37269,-0.024889,-0.170207,12409
1.1472,-47.8743,1.75753,2.37768,-0.0425833,-0.17177,12893
1.14327,-47.5393,2.07654,2.38227,-0.0616028,-0.171117,14299
1.13761,-47.2709,2.40454,2.38625,-0.0818856,-0.170974,15762
2.32432,-32.9179,2.41255,1.75617,-0.0297926,-0.167021,16321
2.3187,-32.7083,2.74583,1.75963,-0.0511577,-0.16622,17179
2.31154,-32.5415,3.07865,1.76264,-0.0734153,-0.166878,18611
2.30642,-32.4086,3.41001,1.76516,-0.0964257,-0.166749,20033
3.41744,-22.4591,3.41694,1.32839,-0.0476554,-0.164024,20291
3.41355,-22.357,3.74442,1.33056,-0.0713219,-0.164288,21483
3.40496,-22.281,4.06671,1.33253,-0.0954156,-0.16434,22917
4.39058,-15.4495,4.07977,1.03263,-0.0521518,-0.162482,24241
4.38605,-15.3892,4.39302,1.0342,-0.0766115,-0.161996,24324
4.38041,-15.3404,4.69497,1.03555,-0.101252,-0.16239,25754
4.3755,-15.2987,4.98714,1.0367,-0.126044,-0.162386,27234
5.21415,-10.5941,4.99993,0.830171,-0.089232,-0.161115,28165
5.21124,-10.5649,5.2812,0.830976,-0.11398,-0.161102,28639
5.20731,-10.5421,5.54859,0.831862,-0.138609,-0.160726,30083
5.20348,-10.5244,5.80505,0.832513,-0.163091,-0.160835,31530
5.90765,-7.286,5.81108,0.690352,-0.132181,-0.159966,32110
5.90533,-7.27237,6.05421,0.691001,-0.156385,-0.159593,32981
5.90287,-7.26317,6.28544,0.69147,-0.180206,-0.159568,34346
5.89898,-7.25216,6.50272,0.691937,-0.203646,-0.160241,35805
6.48255,-5.01414,6.50758,0.593691,-0.17803,-0.159646,36125
6.48257,-5.00692,6.71426,0.594105,-0.201028,-0.15913,37274
6.48318,-5.00073,6.9098,0.594425,-0.223546,-0.158991,38717
6.97188,-3.44015,6.91424,0.525918,-0.202094,-0.158581,40073
6.97126,-3.43574,7.09757,0.526187,-0.224026,-0.158967,40172
6.96902,-3.43206,7.26972,0.526453,-0.245468,-0.159109,41565
6.96936,-3.42977,7.43162,0.526636,-0.266269,-0.158721,43005
7.36783,-2.35604,7.44166,0.479501,-0.24878,-0.158442,44069
7.3688,-2.35248,7.59315,0.479569,-0.26901,-0.158457,44430
7.36793,-2.34905,7.73622,0.479635,-0.288633,-0.158691,45852
7.37346,-2.34858,7.8683,0.479695,-0.30759,-0.15876,47267
7.70096,-1.633,7.865,0.448282,-0.293213,-0.158577,47954
7.70276,-1.62962,7.99005,0.448431,-0.311612,-0.158285,48733
7.70975,-1.63072,8.10508,0.448314,-0.32927,-0.158983,50171
7.71625,-1.6284,8.21539,0.448343,-0.34642,-0.158707,51615
7.97952,-1.14365,8.21246,0.427063,-0.334862,-0.158586,51892
7.98415,-1.14751,8.31351,0.426939,-0.35132,-0.15912,53026
7.98226,-1.14415,8.40963,0.426933,-0.367301,-0.158168,54441
8.19477,-0.811105,8.41018,0.412312,-0.357972,-0.158086,55809
8.19023,-0.807117,8.4982,0.412389,-0.373477,-0.158369,55903
8.19129,-0.806919,8.58254,0.412557,-0.388247,-0.157949,57336
8.20122,-0.806882,8.65913,0.41238,-0.402409,-0.159082,58750
8.37167,-0.579479,8.66306,0.402398,-0.394927,-0.159027,59707
8.3846,-0.585247,8.73416,0.402393,-0.408343,-0.158907,60186
8.39021,-0.584869,8.80166,0.402306,-0.421455,-0.158893,61625
8.39147,-0.587879,8.86478,0.402343,-0.434003,-0.15886,63065
8.62201,-0.430177,8.86823,0.395421,-0.423884,-0.158829,63670
8.61033,-0.424323,8.92733,0.395543,-0.436105,-0.157597,64474
8.59441,-0.42247,8.98249,0.395263,-0.447926,-0.15809,65912
8.59042,-0.422888,9.03353,0.395498,-0.45907,-0.158128,67353
8.66525,-0.314507,9.03597,0.39074,-0.455786,-0.158102,67600
8.67072,-0.314905,9.08662,0.390691,-0.466458,-0.158372,68796
8.68791,-0.317706,9.13172,0.390708,-0.47639,-0.15883,70201
8.75913,-0.243086,9.13589,0.387432,-0.473264,-0.158813,71555
8.76596,-0.25029,9.17962,0.387518,-0.482937,-0.158767,71646
8.76046,-0.249796,9.21958,0.387493,-0.492404,-0.15809,73089
8.74775,-0.246298,9.25738,0.387444,-0.501546,-0.157514,74456
8.80506,-0.190938,9.26101,0.385014,-0.499031,-0.157502,75461
8.77913,-0.189638,9.29487,0.385118,-0.508112,-0.158525,75945
8.77437,-0.188103,9.32797,0.385216,-0.516458,-0.158039,77379
8.77422,-0.187594,9.35843,0.385321,-0.524457,-0.157417,78815
8.81481,-0.14944,9.36101,0.383646,-0.522675,-0.157408,79417
8.83568,-0.153494,9.3907,0.383831,-0.529882,-0.158352,80200
8.84833,-0.159512,9.41949,0.383738,-0.536954,-0.158213,81641
8.84685,-0.161189,9.44389,0.384073,-0.543851,-0.158581,83079
8.86912,-0.137049,9.44731,0.383014,-0.542874,-0.158576,83360
8.85051,-0.133252,9.47178,0.382832,-0.549704,-0.157046,84494
8.8156,-0.126199,9.49422,0.382641,-0.556644,-0.157641,85980
8.83354,-0.0998524,9.49719,0.381485,-0.555857,-0.157634,87289
8.81518,-0.102561,9.51705,0.38157,-0.562225,-0.157946,87419
8.8082,-0.102753,9.53808,0.381411,-0.568272,-0.1577,88829
8.8368,-0.105044,9.55693,0.381539,-0.573427,-0.158867,90268
8.89419,-0.0869456,9.56098,0.380744,-0.570909,-0.158865,91205
8.91994,-0.0884166,9.58172,0.380922,-0.575911,-0.158061,91709
8.93577,-0.0964989,9.597,0.381157,-0.580621,-0.158587,93135
8.91859,-0.093801,9.61202,0.381246,-0.585621,-0.157421,94575
8.9258,-0.079227,9.60877,0.380606,-0.585304,-0.157417,95171
8.8857,-0.0684374,9.61932,0.380324,-0.590641,-0.157661,96008
8.84353,-0.0691671,9.63077,0.380255,-0.595826,-0.157341,97423
8.80877,-0.0624861,9.64491,0.379923,-0.600942,-0.157714,98812
8.81457,-0.0615463,9.64209,0.379882,-0.600686,-0.157714,99118
8.83549,-0.0612094,9.65285,0.379911,-0.604556,-0.159606,100257
8.87136,-0.0734074,9.66457,0.380375,-0.607972,-0.158091,101732
8.91553,-0.0727626,9.66448,0.380347,-0.606032,-0.158094,103034
8.95314,-0.078588,9.67374,0.380458,-0.609172,-0.158913,103175
8.97041,-0.0831301,9.68143,0.38064,-0.612198,-0.158712,104532
8.92185,-0.0742181,9.68608,0.3806,-0.616534,-0.157026,105959
8.91142,-0.0779586,9.6863,0.380765,-0.616992,-0.157026,106972
8.85369,-0.0665579,9.69003,0.380287,-0.621009,-0.157809,107429
8.76593,-0.0608803,9.69784,0.379716,-0.625962,-0.157571,108869
8.74683,-0.061718,9.70375,0.379668,-0.629499,-0.158397,110282
8.73843,-0.0726559,9.70394,0.380148,-0.629868,-0.158399,110902
8.76253,-0.0789318,9.71346,0.380501,-0.632555,-0.157436,111727
8.81935,-0.0921925,9.72013,0.380942,-0.634697,-0.158146,113174
8.89526,-0.103553,9.72759,0.381229,-0.635715,-0.158776,114628
8.95055,-0.111075,9.7357,0.38156,-0.63329,-0.158781,114831
8.93363,-0.100645,9.73868,0.381459,-0.636369,-0.157517,116046
8.893,-0.0839401,9.74093,0.380846,-0.63907,-0.15756,117486
8.92718,-0.0576849,9.74916,0.379694,-0.637571,-0.157555,118804
8.81907,-0.0398151,9.75531,0.378764,-0.642075,-0.156577,118920
8.78487,-0.0422305,9.76115,0.378919,-0.645225,-0.158569,120359
8.81202,-0.0567298,9.76951,0.379325,-0.647062,-0.157265,121795
8.83955,-0.0722208,9.77666,0.380006,-0.645856,-0.15727,122750
8.91743,-0.0948324,9.78203,0.380768,-0.646951,-0.159366,123192
9.03293,-0.107356,9.78418,0.381584,-0.646449,-0.159465,124653
9.03538,-0.090024,9.78629,0.38088,-0.648333,-0.157563,126090
9.0471,-0.100639,9.77865,0.381346,-0.647817,-0.157567,126646
9.00846,-0.0798221,9.77753,0.380337,-0.649729,-0.158657,127495
8.87919,-0.05745,9.7852,0.379492,-0.653846,-0.158046,128911
8.81179,-0.0618366,9.79112,0.379456,-0.657128,-0.159278,130367
8.87591,-0.0802988,9.79597,0.380267,-0.654314,-0.159286,130583
