fx,fy,fz,tx,ty,tz,t
,0
-0.00257885,-20.744,0.047956,0.922241,-0.00227136,-0.151769,1436
-0.00803653,-30.9468,0.143084,1.39394,-0.00683307,-0.156186,2897
-0.0157871,-40.9743,0.282714,1.86773,-0.013581,-0.158806,4324
-0.025907,-50.8331,0.46283,2.34029,-0.0224588,-0.16109,5749
-0.0382567,-60.5547,0.680678,2.80913,-0.0333796,-0.164346,7180
-0.0530162,-70.1852,0.930634,3.27294,-0.046228,-0.166738,8598
-0.0660429,-69.5375,1.20956,3.27976,-0.0608744,-0.16709,10023
-0.0847626,-68.997,1.51405,3.28519,-0.0772097,-0.166846,11448
1.06976,-48.4675,1.52433,2.38397,-0.0265305,-0.161162,12322
1.043,-48.0683,1.84642,2.39088,-0.0445151,-0.161803,12886
1.02163,-47.7347,2.18254,2.39603,-0.0638722,-0.161944,14319
1.01576,-47.4606,2.52823,2.39982,-0.0843015,-0.161311,15738
2.18666,-33.1283,2.54023,1.77065,-0.0329035,-0.157362,16259
2.18651,-32.9407,2.88144,1.77587,-0.0543916,-0.157467,17180
2.18113,-32.7315,3.23335,1.77787,-0.0768681,-0.15686,18627
2.16048,-32.5733,3.58075,1.77887,-0.100264,-0.1562,20055
3.25771,-22.6331,3.59391,1.3425,-0.0521007,-0.153477,20222
3.23151,-22.5769,3.93715,1.34718,-0.0761289,-0.155211,21492
3.21197,-22.4892,4.27725,1.34847,-0.100697,-0.154419,22912
4.19649,-15.6495,4.28088,1.04821,-0.0574789,-0.152558,24189
4.19412,-15.608,4.6115,1.05093,-0.0821484,-0.152189,24363
4.19471,-15.5669,4.92474,1.05287,-0.107044,-0.152601,25808
4.18316,-15.4811,5.22713,1.05187,-0.132212,-0.152966,27241
5.02084,-10.7708,5.23069,0.845088,-0.09544,-0.151693,28085
4.99958,-10.7398,5.52122,0.846331,-0.12065,-0.150573,28643
4.98882,-10.7073,5.79986,0.846608,-0.14564,-0.150969,30076
4.98939,-10.7042,6.06715,0.847845,-0.170441,-0.150877,31518
5.69305,-7.45956,6.07226,0.705411,-0.139552,-0.150007,32020
5.70198,-7.47499,6.32413,0.707611,-0.163878,-0.149526,32984
5.7023,-7.43177,6.56394,0.706662,-0.18787,-0.15065,34371
