fx,fy,fz,tx,ty,tz,t
8.74528,-0.325259,10.0931,0.400088,-0.597266,-0.147957,95196
8.78153,-0.323922,10.1072,0.400229,-0.60132,-0.149314,96004
8.80395,-0.3222,10.1236,0.400034,-0.605397,-0.14795,97445
8.80638,-0.325836,10.1328,0.400288,-0.609616,-0.148763,98859
8.80943,-0.315934,10.1324,0.399853,-0.609482,-0.14876,99139
8.78503,-0.305445,10.1427,0.399653,-0.613801,-0.148098,100281
8.73807,-0.29585,10.1534,0.399235,-0.618772,-0.147795,101729
8.74052,-0.275799,10.1531,0.398355,-0.618664,-0.147789,103067
8.73329,-0.287931,10.1589,0.398819,-0.622429,-0.148414,103140
8.74192,-0.292173,10.1689,0.398666,-0.626068,-0.147803,104572
8.79198,-0.29538,10.1784,0.398838,-0.628673,-0.149089,106033
8.80264,-0.281579,10.1778,0.398232,-0.628204,-0.149086,107014
8.83694,-0.288669,10.1857,0.398554,-0.630814,-0.148554,107432
8.84453,-0.291066,10.1901,0.398686,-0.633696,-0.149046,108860
8.81321,-0.285275,10.1904,0.398317,-0.636902,-0.148295,110301
8.85395,-0.308579,10.1964,0.39934,-0.635116,-0.148304,110952
8.77995,-0.296681,10.1974,0.39883,-0.639375,-0.148454,111732
8.71923,-0.29986,10.1978,0.398957,-0.642927,-0.148256,113175
8.6627,-0.29254,10.2059,0.398688,-0.64685,-0.147415,114619
8.69549,-0.47229,10.2111,0.406579,-0.645412,-0.147467,114868
8.71959,-0.480626,10.2161,0.406618,-0.647707,-0.149547,116028
8.76787,-0.498756,10.2249,0.407653,-0.649341,-0.148789,117477
8.70924,-0.444031,10.222,0.405251,-0.651915,-0.148771,118795
8.74835,-0.429664,10.2269,0.404256,-0.653723,-0.14938,118907
8.76358,-0.44458,10.2286,0.405199,-0.655292,-0.149792,120322
8.68958,-0.436791,10.2298,0.404896,-0.65905,-0.147554,121759
8.80606,-0.386505,10.2506,0.402689,-0.653943,-0.147546,122757
8.74942,-0.357069,10.2539,0.401205,-0.656629,-0.148424,123194
8.65922,-0.369573,10.2565,0.4021,-0.660596,-0.14841,124634
8.66571,-0.368637,10.2592,0.401871,-0.662557,-0.150728,126050
8.75939,-0.33415,10.2772,0.400358,-0.65845,-0.150723,126662
8.80294,-0.326065,10.2878,0.400272,-0.659734,-0.148665,127484
8.86542,-0.337482,10.291,0.400645,-0.660711,-0.149786,128931
8.93578,-0.344206,10.2952,0.400885,-0.660692,-0.14984,130374
8.86063,-0.319728,10.2929,0.39981,-0.663991,-0.149829,130626
8.8026,-0.307148,10.2968,0.399719,-0.666906,-0.147753,131775
8.74587,-0.286893,10.2995,0.398594,-0.668967,-0.149145,133215
8.86553,-0.285429,10.2975,0.39853,-0.663714,-0.149151,134547
8.76204,-0.293094,10.3038,0.398744,-0.667432,-0.148012,134646
8.75319,-0.309918,10.3035,0.399476,-0.66944,-0.150309,136085
8.81712,-0.295425,10.3159,0.398945,-0.66979,-0.148749,137501
8.91351,-0.294418,10.3218,0.398901,-0.66556,-0.148754,138481
8.99848,-0.323685,10.3213,0.399801,-0.665765,-0.150282,138940
9.09494,-0.359792,10.3141,0.401656,-0.664656,-0.15005,140385
9.04103,-0.300206,10.32,0.399056,-0.666887,-0.147466,141813
8.93418,-0.282077,10.3037,0.398259,-0.671573,-0.147455,142420
8.86083,-0.277479,10.2997,0.398155,-0.673471,-0.149444,143254
8.73056,-0.290756,10.3018,0.398976,-0.677146,-0.148086,144689
8.67494,-0.262584,10.3114,0.396917,-0.679961,-0.151087,146130
8.69004,-0.244514,10.2972,0.396123,-0.679294,-0.151083,146381
8.76036,-0.28756,10.2997,0.39828,-0.679058,-0.148701,147578
8.84918,-0.309561,10.3037,0.398914,-0.679118,-0.149681,148966
8.8613,-0.297193,10.2855,0.39837,-0.678581,-0.149678,150256
9.014,-0.304245,10.2789,0.398497,-0.676219,-0.151357,150410
8.99694,-0.283031,10.2713,0.397995,-0.677275,-0.147227,151870
8.92411,-0.242832,10.2636,0.395912,-0.678884,-0.149938,153285
8.98375,-0.296975,10.2763,0.39829,-0.676269,-0.149957,154185
8.84034,-0.301132,10.277,0.39874,-0.679553,-0.148321,154734
8.73197,-0.288823,10.2814,0.398226,-0.683097,-0.150121,156131
8.80194,-0.314879,10.2883,0.399003,-0.682547,-0.150586,157570
8.71499,-0.260763,10.2993,0.396628,-0.686367,-0.150566,158159
8.80788,-0.319233,10.2928,0.399362,-0.686342,-0.150162,159001
8.99516,-0.29511,10.287,0.398268,-0.683048,-0.151851,160455
9.02545,-0.255841,10.2785,0.396552,-0.68279,-0.147268,161868
8.95549,-0.218716,10.2605,0.394921,-0.685856,-0.147253,162075
8.89426,-0.213462,10.2438,0.39503,-0.687147,-0.150179,163298
8.76145,-0.172709,10.2479,0.393249,-0.68973,-0.147655,164741
8.91874,-0.229503,10.2605,0.395742,-0.682828,-0.147679,166028
8.77807,-0.241032,10.2702,0.395826,-0.686671,-0.149328,166166
8.81936,-0.321974,10.2735,0.399281,-0.686386,-0.151344,167581
8.92059,-0.336188,10.2813,0.399481,-0.686142,-0.148995,169069
9.03095,-0.347967,10.2922,0.399998,-0.6813,-0.149004,169905
9.23938,-0.352877,10.2822,0.400383,-0.677617,-0.152048,170465
9.32417,-0.319753,10.2757,0.399364,-0.676027,-0.148102,171906
9.27706,-0.280905,10.2624,0.398057,-0.676855,-0.149906,173349
9.03308,-0.289027,10.2474,0.398413,-0.687562,-0.149895,173840
8.90777,-0.283339,10.2489,0.39848,-0.689505,-0.14763,174769
8.73642,-0.267409,10.2607,0.397128,-0.693669,-0.148236,176214
8.74605,-0.34689,10.2627,0.400789,-0.693966,-0.149385,177632
8.90855,-0.324595,10.2603,0.399811,-0.686831,-0.149388,177783
8.9975,-0.342528,10.2632,0.400343,-0.686282,-0.147559,179048
9.19918,-0.308493,10.258,0.398951,-0.682757,-0.150701,180485
9.28629,-0.339869,10.2559,0.400329,-0.678933,-0.150715,181712
9.39665,-0.340184,10.2443,0.401169,-0.676669,-0.148009,181921
9.34359,-0.286236,10.2348,0.398747,-0.677403,-0.148571,183357
9.2066,-0.274781,10.2389,0.398331,-0.679336,-0.147191,184772
9.05451,-0.296383,10.2648,0.39928,-0.68602,-0.147189,185661
8.85881,-0.308606,10.2688,0.399647,-0.690368,-0.146592,186214
8.80541,-0.358287,10.2734,0.40175,-0.691868,-0.148672,187652
8.85033,-0.370178,10.2741,0.402003,-0.691827,-0.147264,189091
8.79991,-0.283193,10.2418,0.398183,-0.694032,-0.147237,189593
8.92863,-0.268758,10.2345,0.397441,-0.691896,-0.149922,190524
8.99769,-0.263183,10.2228,0.397872,-0.690378,-0.147097,191940
8.918,-0.203971,10.2192,0.395232,-0.691689,-0.147067,193377
8.89385,-0.270494,10.1911,0.398151,-0.692741,-0.147085,193556
8.75078,-0.260457,10.1948,0.39774,-0.694978,-0.148608,194815
8.56317,-0.300722,10.1977,0.399508,-0.699195,-0.146356,196248
8.65494,-0.34639,10.2231,0.401514,-0.695174,-0.146374,197488
8.5836,-0.375425,10.2338,0.402554,-0.697329,-0.147266,197673
8.63806,-0.371511,10.2352,0.401963,-0.697218,-0.148187,199105
8.75876,-0.379438,10.2301,0.402831,-0.695584,-0.149413,200579
8.61206,-0.380131,10.2375,0.402861,-0.702026,-0.149405,201419
8.69875,-0.362565,10.2333,0.402376,-0.700338,-0.147839,202010
8.64204,-0.29609,10.2419,0.399574,-0.701527,-0.147795,203414
8.51955,-0.320116,10.2552,0.4004,-0.703775,-0.14911,204879
8.4013,-0.256365,10.2616,0.397601,-0.708967,-0.149086,205373
8.25451,-0.286221,10.2817,0.399183,-0.712505,-0.146858,206292
8.23388,-0.298117,10.3037,0.399512,-0.714038,-0.147937,207713
8.3484,-0.304241,10.3148,0.399671,-0.71306,-0.149711,209139
8.65368,-0.260448,10.3254,0.397749,-0.699662,-0.149715,209308
8.86235,-0.247288,10.3259,0.396985,-0.696649,-0.150246,210576
9.06281,-0.248331,10.3275,0.397822,-0.693011,-0.14917,212031
9.00247,-0.293583,10.3519,0.39981,-0.695667,-0.149179,213250
9.0815,-0.243964,10.3589,0.397533,-0.693776,-0.150724,213459
9.02647,-0.264099,10.3751,0.398026,-0.694287,-0.150571,214886
8.86605,-0.318522,10.3843,0.400986,-0.697102,-0.147584,216328
8.81746,-0.306373,10.4055,0.400454,-0.699241,-0.147578,217182
8.6878,-0.256775,10.4355,0.397593,-0.702001,-0.148604,217735
8.71519,-0.290831,10.44,0.398952,-0.702607,-0.149924,219177
8.92469,-0.30491,10.4372,0.399945,-0.69966,-0.149462,220610
8.96801,-0.296566,10.4079,0.399578,-0.69775,-0.149462,221096
9.27492,-0.251595,10.4189,0.39703,-0.692334,-0.149088,222071
9.53494,-0.288758,10.4109,0.398934,-0.687166,-0.148678,223480
9.58924,-0.308705,10.4121,0.399787,-0.684928,-0.150909,224897
9.52173,-0.365713,10.4023,0.402289,-0.687889,-0.150921,225037
9.37269,-0.354293,10.395,0.401571,-0.689696,-0.147506,226341
9.1884,-0.334536,10.3988,0.401384,-0.692287,-0.14643,227756
9.13404,-0.458027,10.3902,0.406804,-0.694671,-0.146462,228958
8.97923,-0.42192,10.3831,0.404627,-0.69829,-0.150667,229203
9.08153,-0.483272,10.366,0.407386,-0.696073,-0.150072,230641
9.24965,-0.453908,10.3621,0.406597,-0.693404,-0.149398,232069
9.09411,-0.360264,10.3217,0.402484,-0.700221,-0.149364,232928
9.32457,-0.357311,10.3067,0.4014,-0.695061,-0.150681,233514
9.35826,-0.457144,10.2873,0.407358,-0.692945,-0.150291,234922
9.19738,-0.367423,10.2709,0.402892,-0.694897,-0.147561,236364
9.27183,-0.33322,10.2055,0.401387,-0.69161,-0.147556,236815
9.03257,-0.268288,10.1964,0.39849,-0.694842,-0.147006,237798
8.77928,-0.304933,10.1694,0.40054,-0.700167,-0.148945,239236
8.77142,-0.29185,10.1551,0.399576,-0.7003,-0.145897,240655
8.83143,-0.126909,10.1737,0.392336,-0.697671,-0.145854,240743
8.95521,-0.141898,10.1639,0.392981,-0.696043,-0.146431,242095
9.17379,-0.177747,10.1464,0.394686,-0.691937,-0.14893,243527
8.89632,-0.242614,10.1623,0.397534,-0.704122,-0.148933,244682
9.00989,-0.223887,10.1533,0.396338,-0.70121,-0.146712,244966
8.94007,-0.213227,10.1451,0.396803,-0.701986,-0.145822,246382
8.8135,-0.138606,10.1448,0.393366,-0.703765,-0.146641,247820
9.1305,-0.206206,10.1371,0.396333,-0.689847,-0.146677,248608
8.98363,-0.236294,10.131,0.397028,-0.692752,-0.146474,249251
8.97598,-0.322982,10.1157,0.401381,-0.693406,-0.144917,250734
9.0911,-0.255843,10.1234,0.397661,-0.691308,-0.146198,252161
9.34653,-0.30235,10.1921,0.399707,-0.680114,-0.146225,252539
9.46349,-0.336465,10.1768,0.401271,-0.678153,-0.148925,253573
9.54342,-0.366846,10.1734,0.4035,-0.67554,-0.147318,254981
9.43739,-0.272673,10.1888,0.39834,-0.677358,-0.145624,256454
9.08578,-0.258664,10.2111,0.397726,-0.692799,-0.145601,256463
8.97706,-0.358415,10.2121,0.402828,-0.694168,-0.149223,257860
8.83318,-0.352131,10.2261,0.40225,-0.697197,-0.14736,259279
8.92257,-0.261532,10.2487,0.398274,-0.69328,-0.147339,260417
8.93589,-0.250581,10.2586,0.397241,-0.693464,-0.146225,260754
9.03926,-0.314069,10.2541,0.400538,-0.691534,-0.1469,262153
9.1213,-0.249176,10.2625,0.39734,-0.690049,-0.150279,263585
9.19323,-0.18699,10.2821,0.394612,-0.686897,-0.150265,264329
9.17569,-0.237558,10.2776,0.396883,-0.685967,-0.146973,265025
8.95278,-0.245496,10.2755,0.398065,-0.689774,-0.146649,266434
8.70815,-0.17309,10.2871,0.394483,-0.693665,-0.14798,267874
8.69801,-0.259141,10.3165,0.398262,-0.694119,-0.148004,268242
8.42229,-0.262997,10.3113,0.398943,-0.700224,-0.146442,269332
8.36517,-0.240816,10.3153,0.3978,-0.702111,-0.146636,270757
8.45364,-0.209518,10.3288,0.395429,-0.701654,-0.14725,272165
8.30473,-0.164877,10.3543,0.393471,-0.708198,-0.147229,272211
8.46929,-0.234558,10.3598,0.397242,-0.705979,-0.149403,273630
8.54183,-0.247287,10.3792,0.397738,-0.703685,-0.147018,275048
8.42201,-0.216656,10.3645,0.396392,-0.708941,-0.147003,276125
8.26474,-0.213471,10.3742,0.396167,-0.712362,-0.14721,276479
8.0648,-0.177236,10.3788,0.395454,-0.715777,-0.147933,277901
7.79809,-0.0715538,10.3951,0.390422,-0.72212,-0.144965,279343
8.19714,-0.153663,10.4168,0.394027,-0.704608,-0.14501,280061
8.1591,-0.184858,10.4249,0.395408,-0.706701,-0.147575,280779
8.26105,-0.234805,10.4438,0.397194,-0.706253,-0.148903,282217
8.44631,-0.260609,10.4669,0.397422,-0.703847,-0.14938,283659
8.27657,-0.233424,10.4857,0.39623,-0.711304,-0.149363,283987
8.3873,-0.315916,10.4902,0.400722,-0.708902,-0.148624,285059
8.25851,-0.251531,10.5012,0.397971,-0.711799,-0.146174,286499
8.12173,-0.232827,10.4395,0.397147,-0.717786,-0.146161,287920
7.95858,-0.166791,10.4389,0.394272,-0.720733,-0.148751,287966
7.73655,-0.128901,10.4447,0.392802,-0.726407,-0.144472,289398
7.72397,-0.135279,10.4605,0.391913,-0.72798,-0.146438,290815
8.13383,-0.246578,10.4732,0.396799,-0.709992,-0.146492,291864
8.26152,-0.38123,10.4823,0.401946,-0.708969,-0.148337,292250
8.44677,-0.437487,10.4906,0.404628,-0.706636,-0.149529,293700
8.56896,-0.420547,10.4967,0.404074,-0.703877,-0.147405,295152
8.90286,-0.395943,10.5077,0.402994,-0.689223,-0.147417,295786
8.79123,-0.358607,10.5005,0.402336,-0.691867,-0.146349,296568
8.65122,-0.256494,10.4972,0.397708,-0.6944,-0.149287,298030
8.46298,-0.223004,10.5037,0.396355,-0.699333,-0.147455,299402
8.50984,-0.206069,10.4703,0.39561,-0.697267,-0.147452,299727
8.55144,-0.230271,10.477,0.396089,-0.697736,-0.147604,300870
8.7397,-0.338248,10.4855,0.400122,-0.695488,-0.14807,302272
8.96909,-0.3727,10.4815,0.402886,-0.692082,-0.150179,303704
8.88334,-0.277038,10.4177,0.398683,-0.695829,-0.150147,303725
9.0599,-0.202646,10.4104,0.394927,-0.691787,-0.147883,305158
8.98567,-0.15592,10.3881,0.393994,-0.693517,-0.146311,306580
8.8838,-0.28708,10.3328,0.399749,-0.697973,-0.146342,307623
8.78734,-0.190263,10.3221,0.395862,-0.699253,-0.148247,308006
8.61987,-0.153839,10.3279,0.393624,-0.703452,-0.145641,309424
8.66243,-0.27701,10.3294,0.39925,-0.703356,-0.147695,310890
8.91428,-0.36747,10.3748,0.403224,-0.692312,-0.147734,311605
9.09148,-0.429038,10.3796,0.404728,-0.689903,-0.149272,312317
9.32277,-0.449356,10.3744,0.405907,-0.686086,-0.149293,313732
9.4901,-0.434875,10.3611,0.406336,-0.681798,-0.147794,315177
9.18017,-0.344171,10.3324,0.402353,-0.695396,-0.147752,315513
9.09955,-0.264629,10.3169,0.398484,-0.696859,-0.146554,316606
8.98105,-0.2447,10.3091,0.397773,-0.697901,-0.148643,318082
8.70625,-0.249242,10.2842,0.397971,-0.709958,-0.148629,319445
8.51348,-0.275774,10.279,0.397972,-0.714324,-0.146933,319462
8.54014,-0.3542,10.2737,0.401036,-0.714165,-0.148308,320909
8.69752,-0.403517,10.2672,0.403618,-0.711836,-0.147795,322324
8.92074,-0.406642,10.2792,0.403756,-0.70204,-0.147808,323385
9.15306,-0.344896,10.2743,0.400607,-0.697947,-0.149156,323747
9.33501,-0.388745,10.2649,0.403254,-0.693209,-0.148158,325193
9.26238,-0.358036,10.2547,0.402123,-0.694323,-0.146653,326600
9.19813,-0.395776,10.2949,0.403782,-0.697155,-0.146661,327331
9.08931,-0.337274,10.3068,0.401173,-0.697798,-0.148012,328050
8.89404,-0.397577,10.3054,0.403769,-0.701893,-0.14595,329486
8.91704,-0.415336,10.3042,0.404568,-0.701608,-0.146304,330924
8.86536,-0.303318,10.3391,0.399652,-0.703886,-0.14627,331238
8.99414,-0.273088,10.3472,0.397841,-0.701714,-0.147426,332373
9.18291,-0.292943,10.3342,0.399171,-0.69805,-0.149678,333806
9.04016,-0.215815,10.3161,0.395784,-0.704312,-0.149649,335174
9.1425,-0.212818,10.3133,0.396089,-0.701119,-0.148657,335246
9.04652,-0.202645,10.3076,0.395396,-0.702377,-0.148009,336683
8.91604,-0.182315,10.3033,0.394887,-0.703697,-0.149389,338117
9.04706,-0.257512,10.3242,0.398189,-0.697951,-0.149417,339103
8.8503,-0.192906,10.3272,0.395202,-0.702042,-0.147849,339503
8.86473,-0.216507,10.3174,0.396663,-0.7018,-0.147699,340945
8.99783,-0.20946,10.3215,0.395751,-0.699807,-0.14797,342404
9.10338,-0.204729,10.3396,0.395544,-0.695179,-0.147974,343032
9.31189,-0.228479,10.3415,0.396153,-0.691042,-0.148737,343829
9.41269,-0.328295,10.3312,0.4011,-0.687727,-0.146942,345251
9.30867,-0.28031,10.3293,0.398443,-0.689205,-0.147202,346700
