fx,fy,fz,tx,ty,tz,t
-0.275598,-0.0152528,0.280689,-0.00110488,0.0359563,0.00907267,91289
-0.306832,-0.00970631,0.282309,-0.00125152,0.0332567,0.008736,91672
-0.31056,-0.0123183,0.283685,-0.00133848,0.0313258,0.00869598,93152
-0.298706,-0.0234092,0.283964,-0.0009042,0.0295006,0.00858667,94614
-0.249951,-0.0121469,0.282177,-0.0013987,0.0316414,0.00858718,95196
-0.213843,-0.0108095,0.282602,-0.00125974,0.0305502,0.00723025,96004
-0.19155,-0.00908777,0.286209,-0.0014566,0.0293053,0.00859435,97445
-0.189231,-0.0127232,0.283546,-0.00120455,0.0277934,0.00778143,98859
-0.186009,-0.00288,0.282876,-0.00163669,0.0279351,0.00778401,99139
-0.210501,0.0076091,0.282027,-0.00183794,0.0262021,0.00844591,100281
-0.257534,0.0172037,0.282438,-0.00225691,0.0237044,0.00874963,101729
-0.254944,0.0372153,0.281857,-0.00313543,0.0238183,0.00875509,103067
-0.262247,0.0250832,0.278012,-0.00267255,0.0224159,0.00813055,103140
-0.253672,0.0208406,0.278944,-0.00282642,0.021035,0.00874094,104572
-0.203666,0.0176338,0.279981,-0.00265439,0.0205905,0.00745491,106033
-0.19289,0.0314075,0.279182,-0.00325908,0.0210638,0.00745818,107014
-0.158637,0.0243176,0.279264,-0.00293791,0.0205169,0.00798989,107432
-0.151087,0.0219208,0.276344,-0.00280641,0.019606,0.0074984,108860
-0.182438,0.0277111,0.269752,-0.00317593,0.0182837,0.00824884,110301
-0.14161,0.0043886,0.275539,-0.00215179,0.0200744,0.00824009,110952
-0.215635,0.0162864,0.270131,-0.00266218,0.0176164,0.00809017,111732
-0.276385,0.0131078,0.264594,-0.0025358,0.0157859,0.00828865,113175
-0.332931,0.0204278,0.267138,-0.0028054,0.0135088,0.0091292,114619
-0.300075,-0.159335,0.272158,0.00508626,0.0149497,0.0090771,114868
-0.275986,-0.167671,0.271937,0.0051248,0.0142264,0.00699697,116028
-0.22772,-0.185802,0.275829,0.00616036,0.0140946,0.00775495,117477
-0.286296,-0.131086,0.272828,0.00375824,0.011524,0.00777345,118795
-0.247198,-0.116718,0.273174,0.00276357,0.0111511,0.00716423,118907
-0.231985,-0.131634,0.270665,0.00370629,0.0109537,0.00675227,120322
-0.30599,-0.123845,0.267949,0.00340269,0.00850662,0.00899044,121759
-0.189464,-0.0735661,0.288617,0.00119662,0.0136162,0.00899818,122757
-0.246118,-0.04413,0.288217,-0.000287459,0.0121825,0.00812066,123194
-0.336326,-0.0566338,0.287397,0.000606667,0.00941295,0.00813464,124634
-0.329842,-0.0556979,0.286812,0.000378319,0.00859521,0.00581654,126050
-0.23612,-0.0212154,0.304736,-0.00113445,0.0127045,0.00582109,126662
-0.19258,-0.0131295,0.312323,-0.00122115,0.0125125,0.0078795,127484
-0.130099,-0.0245468,0.312675,-0.000848105,0.0125805,0.00675858,128931
-0.0597431,-0.0312709,0.314336,-0.000608091,0.013598,0.00670389,130374
-0.134867,-0.00679605,0.311939,-0.00168264,0.0103009,0.00671483,130626
-0.192899,0.00578433,0.31336,-0.00177403,0.00833877,0.00879077,131775
-0.249629,0.0260389,0.31383,-0.00289858,0.00718874,0.0073993,133215
-0.129948,0.027501,0.31175,-0.00296288,0.0124432,0.0073932,134547
-0.233441,0.0198364,0.31588,-0.00274855,0.00959543,0.00853262,134646
-0.24229,0.00301215,0.313569,-0.00201708,0.00841918,0.00623534,136085
-0.178368,0.017505,0.32417,-0.00254804,0.00886417,0.00779519,137501
-0.0819527,0.0185107,0.330022,-0.00259187,0.013095,0.00779023,138481
0.00301075,-0.010756,0.327713,-0.00169156,0.0136494,0.00626262,138940
0.0994695,-0.0468631,0.318888,0.000162991,0.0154851,0.00649389,140385
0.0455624,0.0127223,0.323353,-0.00243677,0.0139476,0.00907795,141813
-0.0612725,0.030851,0.306931,-0.0032335,0.0092623,0.00908884,142420
-0.134627,0.0354486,0.30157,-0.00333796,0.00802708,0.00710013,143254
-0.264892,0.0221715,0.302322,-0.0025168,0.00498569,0.00845836,144689
-0.320512,0.0503436,0.310741,-0.00457557,0.00277571,0.00545732,146130
