fx,fy,fz,tx,ty,tz,t
,0
-0.189335,-20.6853,-0.00135913,0.91038,-0.00080326,-0.00704374,1406
-0.555244,-30.7819,-0.00406403,1.35971,-0.00242347,-0.00954629,2863
-1.06051,-40.6787,-0.00840069,1.80333,-0.00483612,-0.0123471,4309
-1.65954,-50.4092,-0.0138827,2.24112,-0.0080037,-0.0151142,5725
-2.3123,-60.0103,-0.020512,2.67344,-0.0119027,-0.0176255,7162
-2.98181,-69.5303,-0.0279609,3.10094,-0.016495,-0.0203867,8600
-3.64002,-68.797,-0.036496,3.07331,-0.0217538,-0.0198694,10035
-4.26764,-68.1993,-0.0456748,3.04809,-0.0276135,-0.0191832,11450
-3.08692,-47.7469,-0.0407772,2.15026,0.0242172,-0.0135223,12409
-3.66868,-47.2731,-0.0503371,2.12741,0.0178092,-0.0150855,12893
-4.19705,-46.8956,-0.0599218,2.10743,0.0109284,-0.014433,14299
-4.67584,-46.5934,-0.070105,2.08986,0.00358958,-0.0142897,15762
-3.4786,-32.3917,-0.0644069,1.46642,0.0561454,-0.0103794,16321
-3.90444,-32.1556,-0.0736095,1.45125,0.0483888,-0.00957817,17179
-4.28274,-31.968,-0.0843496,1.43821,0.0403185,-0.0102363,18611
-4.61351,-31.8188,-0.094253,1.42699,0.0319694,-0.0101073,20033
-3.49263,-21.9741,-0.089822,0.994818,0.0811731,-0.00741248,20291
-3.7818,-21.8592,-0.0992181,0.985222,0.0725703,-0.00767652,21483
-4.03899,-21.7731,-0.106773,0.977152,0.0638388,-0.00772864,22917
-3.04463,-15.0139,-0.0962653,0.68043,0.107487,-0.00589064,24241
-3.2648,-14.9457,-0.103569,0.673485,0.098583,-0.00540518,24324
-3.45769,-14.8908,-0.111966,0.667592,0.08963,-0.00579917,25754
-3.62564,-14.8442,-0.119642,0.662556,0.0806192,-0.00579521,27234
-2.77949,-10.1892,-0.109347,0.458209,0.117761,-0.00453819,28165
-2.9231,-10.1563,-0.115372,0.453789,0.108765,-0.00452529,28639
-3.0489,-10.1305,-0.122902,0.450237,0.0998247,-0.00414894,30083
-3.15821,-10.1105,-0.128714,0.44712,0.0909138,-0.00425806,31530
-2.44775,-6.90626,-0.125062,0.306458,0.122101,-0.00339976,32110
-2.54132,-6.8908,-0.131486,0.303912,0.113304,-0.00302659,32981
-2.6221,-6.8802,-0.136145,0.301691,0.104629,-0.00300112,34346
-2.69391,-6.86808,-0.142528,0.299869,0.0960997,-0.00367416,35805
-2.10512,-4.65364,-0.139894,0.202658,0.121946,-0.00308631,36125
-2.16395,-4.64555,-0.144932,0.201125,0.113591,-0.0025701,37274
-2.21416,-4.63867,-0.149192,0.199796,0.105407,-0.0024314,38717
-1.72119,-3.09425,-0.146784,0.131998,0.127047,-0.00202589,40073
-1.76573,-3.0893,-0.151822,0.130868,0.119121,-0.00241165,40172
-1.80571,-3.08521,-0.156544,0.129955,0.11131,-0.00255401,41565
-1.83798,-3.08259,-0.160964,0.129138,0.103775,-0.00216541,43005
-1.43603,-2.01998,-0.152761,0.0824913,0.121418,-0.00188982,44069
-1.4632,-2.01616,-0.157413,0.0817129,0.114072,-0.00190475,44430
-1.48835,-2.01254,-0.160808,0.081062,0.106944,-0.00213951,45852
-1.50376,-2.01191,-0.165997,0.0805153,0.100086,-0.0022082,47267
-1.17346,-1.30392,-0.170931,0.049435,0.114587,-0.00202798,47954
-1.18981,-1.30042,-0.17476,0.0490676,0.107911,-0.00173558,48733
-1.19849,-1.30142,-0.180466,0.048513,0.101586,-0.00243364,50171
-1.20552,-1.29902,-0.183262,0.0481715,0.0953831,-0.00215746,51615
-0.939973,-0.819495,-0.187642,0.0271206,0.107042,-0.00203768,51892
-0.947007,-0.823299,-0.192327,0.0266834,0.101137,-0.0025724,53026
-0.95895,-0.819894,-0.195072,0.0264115,0.0953234,-0.00161967,54441
-0.7446,-0.490434,-0.1958,0.0119485,0.104733,-0.00153911,55809
-0.75785,-0.486409,-0.200382,0.0117999,0.0990314,-0.00182252,55903
-0.764307,-0.486183,-0.202633,0.0117766,0.0936973,-0.00140259,57336
-0.760851,-0.486125,-0.206926,0.0114386,0.0886068,-0.00253472,58750
-0.588921,-0.261186,-0.204119,0.00156418,0.0961535,-0.0024811,59707
-0.581581,-0.266937,-0.208639,0.00142242,0.0914604,-0.00236094,60186
-0.58081,-0.266545,-0.211825,0.001219,0.0867307,-0.00234686,61625
-0.583726,-0.269545,-0.214782,0.00115819,0.0822341,-0.00231405,63065
-0.351988,-0.113545,-0.212319,-0.00568988,0.0924065,-0.00228299,63670
-0.367267,-0.107682,-0.214891,-0.00565091,0.0879092,-0.00105134,64474
-0.386294,-0.105823,-0.217353,-0.00600146,0.0835016,-0.00154468,65912
-0.392969,-0.106236,-0.220167,-0.00582629,0.079471,-0.00158228,67353
-0.317174,0.000975637,-0.218594,-0.0105327,0.0827979,-0.00155639,67600
-0.314023,0.000582197,-0.218273,-0.0106329,0.0789483,-0.00182705,68796
-0.298837,-0.00221623,-0.220103,-0.0106592,0.0755512,-0.00228504,70201
-0.226834,0.0715987,-0.216688,-0.0138994,0.0787111,-0.00226829,71555
-0.221739,0.0643967,-0.216822,-0.01385,0.0753032,-0.00222249,71646
-0.228729,0.0648926,-0.217847,-0.013906,0.0718409,-0.00154484,73089
-0.242721,0.0683926,-0.21821,-0.0139806,0.068439,-0.000969134,74456
-0.184788,0.123201,-0.215236,-0.0163865,0.0709813,-0.000956943,75461
-0.211833,0.124502,-0.217103,-0.0163052,0.0674072,-0.00197986,75945
-0.217549,0.126037,-0.217372,-0.0162258,0.0643349,-0.00149474,77379
-0.218534,0.126547,-0.218069,-0.0161367,0.0613844,-0.000872127,78815
-0.17744,0.164321,-0.216063,-0.0177948,0.0631879,-0.000863789,79417
-0.157281,0.160267,-0.2154,-0.0176235,0.0608062,-0.00180761,80200
-0.145249,0.154249,-0.213735,-0.0177276,0.0583529,-0.00166889,81641
-0.147267,0.152573,-0.214661,-0.0174023,0.0558775,-0.00203678,83079
-0.12458,0.176451,-0.211741,-0.0184504,0.0568726,-0.00203133,83360
-0.14365,0.180249,-0.210901,-0.0186397,0.0542699,-0.000501732,84494
-0.178966,0.187302,-0.210592,-0.0188382,0.0513819,-0.00109624,85980
-0.160698,0.213468,-0.208054,-0.0199867,0.0521832,-0.00108991,87289
-0.179405,0.21076,-0.208843,-0.0199069,0.0496908,-0.00140157,87419
-0.186682,0.210568,-0.207076,-0.020071,0.0473477,-0.00115525,88829
-0.158332,0.208277,-0.206207,-0.0199479,0.045736,-0.00232294,90268
-0.100685,0.226252,-0.202534,-0.0207368,0.0482656,-0.00232104,91205
-0.075149,0.224781,-0.198584,-0.0205624,0.0466528,-0.00151692,91709
