ax,ay,az,fx,fy,fz,tx,ty,tz,t
1.03327e-311,1.03327e-311,0,0,0,0,0,0,0,0
-2.21388,1.03327e-311,7.99945e-06,-2.06399,0,7.45786e-06,4.0566e-10,-0.0906067,0.000112268,0
-4.42776,1.03327e-311,1.59989e-05,-4.04442,-0.0518279,0.0481355,0.000117313,-0.181232,-0.0736108,1437
-6.64164,1.03327e-311,2.39984e-05,-5.86483,-0.141896,0.143003,0.000351512,-0.271873,-0.117712,2868
-8.85551,1.03327e-311,3.19978e-05,-7.47373,-0.249614,0.281966,0.000700286,-0.362526,-0.136069,4284
-11.0694,1.03327e-311,3.99973e-05,-8.84266,-0.359579,0.462334,0.00116678,-0.453185,-0.143528,5721
-13.2833,1.03327e-311,4.79967e-05,-9.9677,-0.463672,0.681005,0.00174912,-0.54385,-0.146499,7177
-14.0853,-0.231291,0.00302458,-12.0317,-0.463672,0.681013,0.00174912,-0.634456,-0.146387,8416
-16.2992,-0.231291,0.00303258,-12.727,-0.553893,0.93261,0.00244601,-0.725109,-0.147343,8598
-18.5131,-0.231291,0.00304058,-13.2274,-0.627335,1.21183,0.00325541,-0.815757,-0.147729,10024
-18.5131,-0.231291,0.00304071,-11.7365,-0.686863,1.51654,0.00417997,-0.815804,-0.147968,11483
-16.2659,-0.439215,0.00703384,-11.7365,-0.686863,1.51654,0.00417996,-0.815804,-0.147968,12362
-16.2659,-0.439215,0.00703397,-10.3563,-0.739383,1.83943,0.00521638,-0.815856,-0.147985,12923
-16.2659,-0.439215,0.00703411,-9.10073,-0.78114,2.17543,0.00636302,-0.815915,-0.148233,14359
-16.2659,-0.439214,0.00703424,-7.97506,-0.811601,2.51959,0.00761687,-0.81598,-0.148015,15764
-13.9221,-0.599242,0.0114602,-7.97506,-0.811601,2.51959,0.00761686,-0.81598,-0.148015,16308
-13.9221,-0.599241,0.0114603,-6.97262,-0.837859,2.86839,0.00897738,-0.81605,-0.148164,17208
-13.9221,-0.599241,0.0114605,-6.09105,-0.858375,3.21767,0.0104402,-0.816126,-0.148305,18616
-13.9221,-0.599241,0.0114606,-5.31402,-0.87436,3.56513,0.0120061,-0.816207,-0.148037,20060
-11.6904,-0.717931,0.0165324,-5.31402,-0.874359,3.56513,0.0120061,-0.816207,-0.148037,20242
-11.6904,-0.717932,0.0165317,-4.63415,-0.886012,3.90733,0.0136777,-0.816295,-0.147866,21493
-11.6904,-0.717932,0.0165311,-4.04488,-0.895366,4.24526,0.0154498,-0.816388,-0.147985,22906
-9.68509,-0.801974,0.0217345,-4.04488,-0.895367,4.24526,0.0154498,-0.816388,-0.147985,24183
-9.68509,-0.801974,0.0217338,-3.53329,-0.898338,4.57229,0.0173169,-0.816488,-0.14798,24349
-9.68509,-0.801974,0.0217331,-3.08333,-0.904569,4.88907,0.0192801,-0.816593,-0.147749,25817
-9.68509,-0.801975,0.0217325,-2.69302,-0.910349,5.19332,0.021334,-0.816703,-0.147993,27252
-7.9486,-0.859397,0.0265525,-2.69302,-0.91035,5.19332,0.021334,-0.816703,-0.147993,28114
-7.9486,-0.859397,0.0265519,-2.35827,-0.912705,5.48599,0.0234737,-0.81682,-0.147831,28641
-7.9486,-0.859398,0.0265512,-2.07049,-0.917655,5.7647,0.0257051,-0.816942,-0.148015,30084
-7.9486,-0.859398,0.0265519,-1.8211,-0.920943,6.03179,0.0280221,-0.81707,-0.147993,31513
-6.48038,-0.900526,0.0319109,-1.8211,-0.920943,6.03179,0.0280221,-0.81707,-0.147993,32089
-6.48038,-0.900526,0.0319115,-1.60238,-0.924596,6.28484,0.0304152,-0.817203,-0.148082,32949
-6.48038,-0.900526,0.0319122,-1.41143,-0.921481,6.52845,0.032892,-0.817341,-0.148322,34366
-6.48038,-0.900526,0.0319129,-1.24842,-0.923877,6.75493,0.0354396,-0.817486,-0.148296,35805
-5.26433,-0.928808,0.036906,-1.24842,-0.923877,6.75493,0.0354396,-0.817486,-0.148296,36006
-5.26433,-0.928808,0.0369066,-1.10652,-0.922664,6.97004,0.0380632,-0.817636,-0.147792,37241
-5.26433,-0.928808,0.0369073,-0.984271,-0.921952,7.17205,0.040753,-0.817792,-0.147937,38682
